Forward
1802,0,0,0,0,4.32,"","OK"
1864,1,0,0,0,4.32,"","OK"
1968,2,0,0,0,8.64,"","OK"
2064,3,0,0,0,4.32,"","OK"
2131,4,0,0,0,4.32,"","OK"
2217,5,0,0,0,8.64,"","OK"
2288,6,0,0,0,8.64,"","OK"
2363,7,0,0,0,4.32,"","OK"
2470,8,0,0,0,8.64,"","OK"
2574,9,0,0,0,8.64,"","OK"
2658,10,0,0,0,4.32,"","OK"
2755,11,0,0,0,4.32,"","OK"
2840,12,0,0,0,8.64,"","OK"
2944,13,0,0,0,4.32,"","OK"
3015,14,0,0,0,4.32,"","OK"
3077,15,0,0,0,8.64,"","OK"
3156,16,0,0,0,4.32,"","OK"
3217,17,0,0,0,8.64,"","OK"
3282,18,0,0,0,4.32,"","OK"
3361,19,0,0,0,4.32,"","OK"
3435,20,0,0,0,4.32,"","OK"
3485,21,0,0,0,4.32,"","OK"
3540,22,0,0,0,4.32,"","OK"
3593,23,0,0,0,8.64,"","OK"
3659,24,0,0,0,4.32,"","OK"
3722,25,0,0,0,8.64,"","OK"
3786,26,0,0,0,4.32,"","OK"
3847,27,0,0,0,8.64,"","OK"
3917,28,0,0,0,4.32,"","OK"
3999,29,0,0,0,8.64,"","OK"
4078,30,0,0,0,8.64,"","OK"
4158,31,0,0,0,4.32,"","OK"
4216,32,0,0,0,4.32,"","OK"
4275,33,0,0,0,8.64,"","OK"
4324,34,0,0,0,4.32,"","OK"
4372,35,0,0,0,8.64,"","OK"
4428,36,0,0,0,4.32,"","OK"
4498,37,0,0,0,4.32,"","OK"
4546,38,0,0,0,8.64,"","OK"
4615,39,0,0,0,4.32,"","OK"
4671,40,0,0,0,8.64,"","OK"
4745,41,0,0,0,8.64,"","OK"
4818,42,0,0,0,4.32,"","OK"
4886,43,0,0,0,8.64,"","OK"
4938,44,0,0,0,4.32,"","OK"
5003,45,0,0,0,8.64,"","OK"
5072,46,0,0,0,8.64,"","OK"
5154,47,0,0,0,4.32,"","OK"
5235,48,0,0,0,4.32,"","OK"
5316,49,0,0,0,8.64,"","OK"
5389,50,0,0,0,8.64,"","OK"
